Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'01.01.2024 01:00'";8;52;7;-;"sehr gut"
DENI062;"'01.01.2024 02:00'";9;55;5;-;"sehr gut"
DENI062;"'01.01.2024 03:00'";9;55;5;-;"sehr gut"
DENI062;"'01.01.2024 04:00'";10;56;4;-;"sehr gut"
DENI062;"'01.01.2024 05:00'";10;56;4;-;"sehr gut"
DENI062;"'01.01.2024 06:00'";11;57;3;-;"sehr gut"
DENI062;"'01.01.2024 07:00'";11;57;3;-;"sehr gut"
DENI062;"'01.01.2024 08:00'";11;57;3;-;"sehr gut"
DENI062;"'01.01.2024 09:00'";11;59;3;-;"sehr gut"
DENI062;"'01.01.2024 10:00'";11;59;3;-;"sehr gut"
DENI062;"'01.01.2024 11:00'";11;63;3;-;gut
DENI062;"'01.01.2024 12:00'";12;62;3;-;gut
DENI062;"'01.01.2024 13:00'";12;62;3;-;gut
DENI062;"'01.01.2024 14:00'";12;61;4;-;gut
DENI062;"'01.01.2024 15:00'";12;63;5;-;gut
DENI062;"'01.01.2024 16:00'";12;63;5;-;gut
DENI062;"'01.01.2024 17:00'";12;61;6;-;gut
DENI062;"'01.01.2024 18:00'";12;60;6;-;"sehr gut"
DENI062;"'01.01.2024 19:00'";12;61;5;-;gut
DENI062;"'01.01.2024 20:00'";12;60;5;-;"sehr gut"
DENI062;"'01.01.2024 21:00'";12;61;5;-;gut
DENI062;"'01.01.2024 22:00'";12;62;5;-;gut
DENI062;"'01.01.2024 23:00'";12;-;5;-;"sehr gut"
DENI062;"'01.01.2024 24:00'";12;62;-;-;gut
DENI062;"'02.01.2024 01:00'";11;60;4;-;"sehr gut"
DENI062;"'02.01.2024 02:00'";11;56;5;-;"sehr gut"
DENI062;"'02.01.2024 03:00'";11;51;5;-;"sehr gut"
DENI062;"'02.01.2024 04:00'";11;48;7;-;"sehr gut"
DENI062;"'02.01.2024 05:00'";10;47;7;-;"sehr gut"
DENI062;"'02.01.2024 06:00'";10;48;7;-;"sehr gut"
DENI062;"'02.01.2024 07:00'";10;49;7;-;"sehr gut"
DENI062;"'02.01.2024 08:00'";10;51;7;-;"sehr gut"
DENI062;"'02.01.2024 09:00'";10;49;6;-;"sehr gut"
DENI062;"'02.01.2024 10:00'";10;47;7;-;"sehr gut"
DENI062;"'02.01.2024 11:00'";10;47;7;-;"sehr gut"
DENI062;"'02.01.2024 12:00'";10;-;-;-;"sehr gut"
DENI062;"'02.01.2024 13:00'";10;-;-;-;"sehr gut"
DENI062;"'02.01.2024 14:00'";9;49;8;-;"sehr gut"
DENI062;"'02.01.2024 15:00'";9;49;9;-;"sehr gut"
