Tag,Ozon,PM₁₀,NO₂,"PM₂,₅"
2024-01-01,35.1,37.7,14.1,30.7
2024-01-02,37.3,11.9,8.8,8.5
2024-01-03,51.5,6.7,9.0,4.5
2024-01-04,41.6,4.7,5.5,3.0
2024-01-05,39.8,6.8,5.2,4.9
2024-01-06,46.7,18.4,4.2,15.6
2024-01-07,63.7,12.2,2.3,10.1
2024-01-08,38.7,11.3,10.3,9.2
2024-01-09,26.8,16.3,17.0,13.4
2024-01-10,14.0,33.4,24.4,28.3
2024-01-11,32.8,25.2,13.0,21.5
2024-01-12,36.0,13.5,10.3,10.1
2024-01-13,51.6,12.3,4.8,9.4
2024-01-14,57.1,6.9,4.7,5.0
2024-01-15,58.2,8.4,4.6,6.3
2024-01-16,48.2,7.5,13.7,5.2
2024-01-17,36.4,14.6,20.2,11.4
2024-01-18,18.5,21.8,27.2,18.1
2024-01-19,42.8,20.7,16.1,16.7
2024-01-20,49.2,15.6,12.4,12.1
2024-01-21,49.2,15.5,16.0,12.2
2024-01-22,54.3,10.5,9.9,7.8
2024-01-23,57.8,8.7,9.4,5.9
2024-01-24,64.4,11.0,5.0,7.3
2024-01-25,72.0,11.8,3.5,7.5
2024-01-26,36.8,15.5,15.6,10.2
2024-01-27,55.2,13.2,7.9,8.6
2024-01-28,28.1,16.5,14.1,10.9
2024-01-29,29.1,15.0,23.8,10.6
2024-01-30,9.2,18.7,35.0,12.9
2024-01-31,57.5,16.0,8.0,10.9
2024-02-01,56.8,10.1,6.0,7.2
2024-02-02,50.0,14.7,8.7,10.0
2024-02-03,52.1,12.7,4.5,9.6
2024-02-04,65.0,9.5,4.1,6.5
2024-02-05,55.7,7.9,4.7,5.1
2024-02-06,58.2,13.2,5.1,8.8
2024-02-07,61.6,7.5,8.6,4.7
2024-02-08,21.0,13.9,22.0,8.8
2024-02-09,42.1,13.2,8.5,9.3
2024-02-10,22.8,15.6,11.4,11.3
2024-02-11,22.8,22.2,7.0,17.4
2024-02-12,33.5,15.1,11.1,11.8
2024-02-13,41.7,12.9,13.6,9.2
2024-02-14,25.7,13.7,19.8,9.8
2024-02-15,19.3,12.1,18.7,8.3
2024-02-16,26.2,13.8,14.9,9.4
2024-02-17,55.0,11.9,3.0,7.9
2024-02-18,48.6,9.3,6.6,6.0
2024-02-19,50.9,9.0,6.2,6.4
2024-02-20,51.4,8.5,7.9,5.7
2024-02-21,42.5,15.8,13.6,11.0
2024-02-22,47.5,11.1,11.2,7.7
2024-02-23,63.6,5.3,8.5,3.2
2024-02-24,41.8,9.0,11.0,6.0
2024-02-25,45.3,8.4,12.0,6.1
2024-02-26,34.1,15.9,10.5,12.5
2024-02-27,56.6,14.5,4.5,11.8
2024-02-28,45.0,14.5,8.5,11.7
2024-02-29,36.3,19.0,11.4,15.4
2024-03-01,21.3,29.1,14.2,23.6
2024-03-02,20.0,39.5,12.5,30.5
2024-03-03,34.4,33.6,6.5,26.5
2024-03-04,36.9,33.0,7.4,26.2
2024-03-05,48.5,34.0,6.7,25.7
2024-03-06,30.5,24.2,6.5,18.2
2024-03-07,48.0,31.7,8.1,24.8
2024-03-08,52.5,26.2,8.5,20.5
2024-03-09,51.7,27.8,7.3,22.8
